config,atp,radio_flux,sod,catalase,gpx,gr,dsup,mn_aox,nrf2,oh_scav,dna_repair,status
All defenses ON,117.47,28.57,4.0,2.4,0.0,0.0,2.74,0.0,2.06,4.11,0.0,optimal
No Dsup,117.47,28.57,4.0,2.4,0.0,0.0,0.0,0.0,3.43,6.86,0.0,optimal
No Mn-AOX,117.47,28.57,4.0,2.4,0.0,0.0,2.74,0.0,2.06,4.11,0.0,optimal
No Nrf2,117.3,27.78,3.89,2.34,0.0,2.0,2.67,0.0,0.0,4.0,0.0,optimal
No SOD,111.39,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
No Catalase,117.47,28.57,4.0,0.0,0.0,0.0,2.74,2.29,2.06,4.11,0.0,optimal
No OH scavenging,111.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
Only native defenses,114.94,16.67,2.33,1.33,0.0,2.0,0.0,0.0,0.0,4.0,0.0,optimal
Only engineered,111.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
No defenses,111.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
