oh_scav_cap,atp_with_dsup,atp_no_dsup,atp_delta,pct_atp_loss_without_dsup,radio_with_dsup,radio_no_dsup,dsup_flux_used,dsup_essential
0,115.83,111.39,4.44,3.8,20.83,0.0,5.0,YES
1,116.72,112.28,4.44,3.8,25.0,4.17,5.0,YES
2,117.48,113.17,4.31,3.7,28.57,8.33,5.0,YES
3,117.48,114.05,3.42,2.9,28.57,12.5,5.0,YES
5,117.48,115.83,1.65,1.4,28.57,20.83,5.0,YES
7,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
10,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
15,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
20,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
50,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
100,117.48,117.47,0.0,0.0,28.57,28.57,5.0,no
