regime,dose_rate_Gy_s,atp_demand,efficiency,radiation_power_W,atp_demand_power_W,radiation_fraction_of_demand,radiation_pct_of_demand
natural_background,7.6e-11,low_1e7,1.0,2.28e-22,8.302695335869232e-13,2.74609618656e-10,2.74609618656e-08
natural_background,7.6e-11,low_1e7,0.01,2.28e-22,8.302695335869232e-13,2.7460961865600005e-12,2.7460961865600005e-10
natural_background,7.6e-11,high_1e9,1.0,2.28e-22,8.302695335869233e-11,2.7460961865599997e-12,2.7460961865599995e-10
natural_background,7.6e-11,high_1e9,0.01,2.28e-22,8.302695335869233e-11,2.74609618656e-14,2.74609618656e-12
iss_leo,4.6e-09,low_1e7,1.0,1.38e-20,8.302695335869232e-13,1.6621108497600002e-08,1.6621108497600001e-06
iss_leo,4.6e-09,low_1e7,0.01,1.38e-20,8.302695335869232e-13,1.6621108497600004e-10,1.6621108497600005e-08
iss_leo,4.6e-09,high_1e9,1.0,1.38e-20,8.302695335869233e-11,1.6621108497600001e-10,1.6621108497600002e-08
iss_leo,4.6e-09,high_1e9,0.01,1.38e-20,8.302695335869233e-11,1.66211084976e-12,1.6621108497600001e-10
chernobyl_hotspot,2.8e-07,low_1e7,1.0,8.400000000000001e-19,8.302695335869232e-13,1.0117196476800002e-06,0.00010117196476800001
chernobyl_hotspot,2.8e-07,low_1e7,0.01,8.400000000000001e-19,8.302695335869232e-13,1.0117196476800001e-08,1.0117196476800002e-06
chernobyl_hotspot,2.8e-07,high_1e9,1.0,8.400000000000001e-19,8.302695335869233e-11,1.0117196476800001e-08,1.0117196476800002e-06
chernobyl_hotspot,2.8e-07,high_1e9,0.01,8.400000000000001e-19,8.302695335869233e-11,1.0117196476800001e-10,1.0117196476800001e-08
lab_gamma_source,0.1,low_1e7,1.0,3.0000000000000003e-13,8.302695335869232e-13,0.3613284456000001,36.13284456000001
lab_gamma_source,0.1,low_1e7,0.01,3.0000000000000003e-13,8.302695335869232e-13,0.003613284456000001,0.3613284456000001
lab_gamma_source,0.1,high_1e9,1.0,3.0000000000000003e-13,8.302695335869233e-11,0.0036132844560000004,0.36132844560000005
lab_gamma_source,0.1,high_1e9,0.01,3.0000000000000003e-13,8.302695335869233e-11,3.6132844560000005e-05,0.0036132844560000004
acutely_lethal_1s,5.0,low_1e7,1.0,1.5e-11,8.302695335869232e-13,18.06642228,1806.6422280000002
acutely_lethal_1s,5.0,low_1e7,0.01,1.5e-11,8.302695335869232e-13,0.1806642228,18.06642228
acutely_lethal_1s,5.0,high_1e9,1.0,1.5e-11,8.302695335869233e-11,0.1806642228,18.06642228
acutely_lethal_1s,5.0,high_1e9,0.01,1.5e-11,8.302695335869233e-11,0.001806642228,0.1806642228
