dose_Gy_s,peak_superoxide_uM,peak_h2o2_uM,peak_oh_nM,steady_superoxide_uM,steady_h2o2_uM,dna_damage_120s,gsh_depletion_pct,superoxide_lethal,h2o2_lethal
0.0,0.001,0.1,0.0,0.0,1e-05,0.0,-0.0,no,no
0.001,0.001,0.1,0.0,0.0,1e-05,0.0,-0.0,no,no
0.01,0.001,0.1,0.0,0.0,3e-05,0.0,-0.0,no,no
0.05,0.001,0.1,0.0,0.0,0.00014,0.0,0.0,no,no
0.1,0.001,0.1,0.0,0.0,0.00027,0.0,0.0,no,no
0.5,0.001,0.1,0.0,0.0,0.00134,0.0,0.0,no,no
1.0,0.001,0.1,0.0,1e-05,0.00268,0.0,0.0,no,no
5.0,0.001,0.1,1e-06,4e-05,0.01336,1e-06,0.01,no,no
10.0,0.001,0.1,1e-06,8e-05,0.02672,1e-06,0.02,no,no
50.0,0.001,0.13366,7e-06,0.0004,0.13364,6e-06,0.09,no,no
100.0,0.001,0.26747,1.3e-05,0.00081,0.26743,1.2e-05,0.18,no,no
