parameter,baseline_value,swept_value,level,dsup_threshold_oh_scav,dsup_threshold_status,atp_all_defenses,atp_no_sod,sod_essential,atp_radio,atp_normal,atp_gain,pct_boost
po_ratio_nadh,2.5,1.25,low (-50%),,always_dispensable,69.15,10.0,YES,69.15,69.15,0.0,0.0
po_ratio_nadh,2.5,2.5,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
po_ratio_nadh,2.5,3.75,high (+50%),5.0,threshold_exists,174.06,10.0,YES,174.06,153.64,20.41,13.3
po_ratio_fadh2,1.5,0.75,low (-50%),5.0,threshold_exists,114.9,10.0,YES,114.9,106.32,8.57,8.1
po_ratio_fadh2,1.5,1.5,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
po_ratio_fadh2,1.5,2.25,high (+50%),3.0,threshold_exists,120.32,10.0,YES,120.32,116.46,3.86,3.3
etc_leak_nadh,0.01,0.005,low (-50%),5.0,threshold_exists,116.62,10.0,YES,116.62,110.76,5.87,5.3
etc_leak_nadh,0.01,0.01,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
etc_leak_nadh,0.01,0.015,high (+50%),5.0,threshold_exists,118.34,10.0,YES,118.34,112.04,6.3,5.6
melanin_coeff,0.02,0.01,low (-50%),5.0,threshold_exists,122.55,10.0,YES,122.55,111.39,11.15,10.0
melanin_coeff,0.02,0.02,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
melanin_coeff,0.02,0.03,high (+50%),,always_dispensable,112.41,10.0,YES,112.41,111.39,1.01,0.9
hashimoto_eff,0.4,0.2,low (-50%),5.0,threshold_exists,117.47,10.0,YES,117.47,111.39,6.08,5.5
hashimoto_eff,0.4,0.4,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
hashimoto_eff,0.4,0.6,high (+50%),5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
oh_scav_cap,10.0,5.0,low (-50%),5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
oh_scav_cap,10.0,10.0,baseline,5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
oh_scav_cap,10.0,15.0,high (+50%),5.0,threshold_exists,117.48,10.0,YES,117.48,111.39,6.08,5.5
