oh_scav_cap,atp_with_dsup,atp_no_dsup,atp_delta,dsup_essential,parameter,swept_value,level
0,69.15,69.15,-0.0,no,po_ratio_nadh,1.25,low (-50%)
1,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
2,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
3,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
5,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
7,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
10,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
15,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
20,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
50,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
100,69.15,69.15,0.0,no,po_ratio_nadh,1.25,low (-50%)
0,115.65,111.39,4.26,YES,po_ratio_nadh,2.5,baseline
1,116.54,112.28,4.26,YES,po_ratio_nadh,2.5,baseline
2,117.43,113.17,4.26,YES,po_ratio_nadh,2.5,baseline
3,117.48,114.05,3.42,YES,po_ratio_nadh,2.5,baseline
5,117.48,115.83,1.65,YES,po_ratio_nadh,2.5,baseline
7,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
10,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
15,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
20,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
50,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
100,117.48,117.47,0.0,no,po_ratio_nadh,2.5,baseline
0,168.01,153.64,14.37,YES,po_ratio_nadh,3.75,high (+50%)
1,170.95,156.58,14.37,YES,po_ratio_nadh,3.75,high (+50%)
2,173.89,159.52,14.37,YES,po_ratio_nadh,3.75,high (+50%)
3,174.06,162.46,11.59,YES,po_ratio_nadh,3.75,high (+50%)
5,174.06,168.34,5.71,YES,po_ratio_nadh,3.75,high (+50%)
7,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
10,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
15,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
20,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
50,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
100,174.06,173.8,0.26,no,po_ratio_nadh,3.75,high (+50%)
0,112.37,106.32,6.05,YES,po_ratio_fadh2,0.75,low (-50%)
1,113.6,107.55,6.05,YES,po_ratio_fadh2,0.75,low (-50%)
2,114.83,108.78,6.05,YES,po_ratio_fadh2,0.75,low (-50%)
3,114.9,110.01,4.89,YES,po_ratio_fadh2,0.75,low (-50%)
5,114.9,112.46,2.43,YES,po_ratio_fadh2,0.75,low (-50%)
7,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
10,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
15,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
20,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
50,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
100,114.9,114.74,0.15,no,po_ratio_fadh2,0.75,low (-50%)
0,115.65,111.39,4.26,YES,po_ratio_fadh2,1.5,baseline
1,116.54,112.28,4.26,YES,po_ratio_fadh2,1.5,baseline
2,117.43,113.17,4.26,YES,po_ratio_fadh2,1.5,baseline
3,117.48,114.05,3.42,YES,po_ratio_fadh2,1.5,baseline
5,117.48,115.83,1.65,YES,po_ratio_fadh2,1.5,baseline
7,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
10,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
15,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
20,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
50,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
100,117.48,117.47,0.0,no,po_ratio_fadh2,1.5,baseline
